Course,AHI,Area B,Area C,Area D,Area E,Area F,Area G,Ethnicity,Euro Trad,Quant Relationships,World Cult,Writing
ANTH 109,0,0,0,1,0,0,0,0,0,0,0,0
ANTH 110,0,0,0,1,0,0,0,0,0,0,1,0
ANTH 116A,0,0,0,0,0,0,0,0,0,0,0,1
ANTH 116B,0,0,0,0,0,0,0,0,0,0,0,1
ANTH 131,1,0,0,1,0,0,0,0,0,0,1,0
ANTH 134,0,0,0,1,0,0,0,0,0,0,1,0
ANTH 135,0,0,0,1,0,0,0,0,0,0,1,1
ANTH 137,0,0,0,1,0,0,0,0,0,0,1,0
ANTH 138TS,0,0,0,0,1,0,0,0,0,0,1,1
ANTH 141,0,0,0,1,0,0,0,0,0,0,1,1
ANTH 142,0,0,0,1,0,0,0,0,0,0,1,0
ANTH 143,0,0,0,0,0,0,0,0,0,0,0,1
ANTH 148A,0,0,0,0,0,0,0,1,0,0,0,0
ANTH 156,0,0,0,1,0,0,0,0,0,0,1,0
ANTH 169,0,0,0,0,0,0,0,0,0,0,0,1
ANTH 172,0,0,0,0,0,0,0,0,0,0,0,1
ANTH 176,0,0,0,1,1,0,0,0,0,0,1,1
ANTH 176TS,0,0,0,0,1,0,0,0,0,0,1,0
ANTH 2,0,0,0,1,0,0,0,0,0,0,1,0
ANTH 25,0,0,0,1,0,0,0,0,0,0,1,1
ANTH 3,0,0,0,1,0,0,0,0,0,0,1,1
ANTH 3SS,0,0,0,1,0,0,0,0,0,0,1,0
ANTH 5,0,0,1,0,0,0,0,0,0,0,0,0
ANTH 7,0,0,0,1,0,0,0,0,0,0,0,0
ART 106W,0,0,0,0,0,1,0,0,0,0,0,0
ART 125,0,0,0,0,0,1,0,0,0,0,0,0
ART 179C,0,0,0,0,0,0,1,0,0,0,0,1
ART 1A,0,0,0,0,0,1,0,0,0,0,0,1
ART 7A,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 1,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 103A,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 103B,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 103C,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 105C,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 105E,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 105G,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 105L,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 107A 15C,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 107B 16C,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 109A,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 109B,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 109C,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 109D,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 109E,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 109F,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 109G,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 111B,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 111C,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 111E,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 111F,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 113A 17C,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 113B 17C,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 113F,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 115B 18C:,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 115D 18C,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 115E,0,0,0,0,1,0,0,0,0,0,0,0
ARTHI 117B 19C,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 117F,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 119B,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 119C 20C,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 119D,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 119E,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 119F,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 119G,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 121A,1,0,0,0,0,1,0,0,0,0,0,0
ARTHI 121B,1,0,0,0,0,1,0,0,0,0,0,0
ARTHI 121C,1,0,0,0,0,1,0,0,0,0,0,0
ARTHI 121D,0,0,0,0,0,1,0,1,0,0,0,0
ARTHI 121E,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 121E 3-D,1,0,0,0,0,1,0,0,0,0,0,0
ARTHI 123D,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 123E,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 127A,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 127B,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 130A,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 130B,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 130C,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 130D,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 132A,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 132I,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 134A,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 134B,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 134C,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 134D,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 134E,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 134F,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 134G,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 134H,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 136A 19TH,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 136B 20TH,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 136C,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 136D,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 136H,1,0,0,0,0,1,0,0,0,0,0,0
ARTHI 136I,0,0,0,0,1,1,0,0,0,0,0,0
ARTHI 136J,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 136K 20TH,0,0,0,0,0,1,0,0,1,0,0,0
ARTHI 136L,0,0,0,0,0,1,0,0,1,0,0,0
ARTHI 136M,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 136O,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 136R,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 136V,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 136W,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 136Y,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 138B,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 138C,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 140E,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 141D,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 141G,0,0,0,0,0,1,0,0,1,0,0,0
ARTHI 144A,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 144C,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 144D,0,0,0,0,1,1,0,0,0,0,0,0
ARTHI 148A,0,0,0,0,1,1,0,0,0,0,0,0
ARTHI 148B,0,0,0,0,1,1,0,0,0,0,0,0
ARTHI 186B,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 186D,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 186E,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 186F,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 186G,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 186H,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 186J,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 186K,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 186N,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 186P,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 186Q,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 186R,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 186RS,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 186RW,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 186T,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 186V,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 186Y,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 187B,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 187H,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 187Z,0,0,0,0,0,0,0,0,0,0,0,1
ARTHI 5A,0,0,0,0,0,1,0,0,0,0,0,1
ARTHI 5B,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 6A,0,0,0,0,1,1,0,0,1,0,0,1
ARTHI 6B,0,0,0,0,1,1,0,0,1,0,0,1
ARTHI 6C,0,0,0,0,1,1,0,0,1,0,0,1
ARTHI 6DL,0,0,0,0,1,1,0,0,0,0,1,1
ARTHI 6DS,0,0,0,0,0,1,0,0,0,0,1,1
ARTHI 6DW,0,0,0,0,0,1,0,0,0,0,1,1
ARTHI 6E,0,0,0,0,0,1,0,0,0,0,1,0
ARTHI 6F,0,0,0,0,0,1,0,0,0,0,0,1
ARTHI 6G,0,0,0,0,0,1,0,0,0,0,0,1
ARTHI 6H,0,0,0,0,0,1,0,0,0,0,1,1
ARTHI 6J,0,0,0,0,0,1,0,0,0,0,0,0
ARTHI 6K,0,0,0,0,0,1,0,0,0,0,1,1
ARTHI 6L,0,0,0,0,1,1,0,0,0,0,0,1
ARTHI 6M,0,0,0,0,1,1,0,0,1,0,0,1
ARTHIW 6R,0,0,0,0,1,1,0,0,1,0,0,1
AS AM 1,1,0,0,1,0,0,0,1,0,0,0,0
AS AM 100AA,0,0,0,1,0,0,0,1,0,0,0,0
AS AM 100BB,0,0,0,1,0,0,0,1,0,0,0,1
AS AM 100CC,0,0,0,0,0,0,0,1,0,0,0,0
AS AM 100DD,0,0,0,0,0,0,0,1,0,0,0,0
AS AM 100FF,0,0,0,1,0,0,0,1,0,0,0,1
AS AM 107,0,0,0,1,0,0,0,1,0,0,0,0
AS AM 109,0,0,0,0,0,0,0,1,0,0,0,0
AS AM 111,0,0,0,1,0,0,0,1,0,0,0,1
AS AM 113,0,0,0,0,0,0,0,1,0,0,0,0
AS AM 118,0,0,0,0,0,1,0,1,0,0,0,0
AS AM 119,0,0,0,1,0,0,0,1,0,0,0,0
AS AM 120,0,0,0,0,0,1,0,1,0,0,0,0
AS AM 121,0,0,0,0,0,0,0,1,0,0,0,1
AS AM 122,0,0,0,0,0,0,1,0,0,0,0,1
AS AM 124,0,0,0,0,0,0,0,1,0,0,0,0
AS AM 125,0,0,0,0,0,0,0,1,0,0,0,0
AS AM 127,0,0,0,0,0,1,0,1,0,0,0,0
AS AM 128,0,0,0,0,0,0,1,0,0,0,0,1
AS AM 130,0,0,0,1,0,0,0,1,0,0,0,0
AS AM 131,0,0,0,1,0,0,0,1,0,0,0,1
AS AM 134,0,0,0,0,0,0,0,0,0,0,0,1
AS AM 136,0,0,0,1,0,0,0,1,0,0,0,1
AS AM 137,0,0,0,1,0,0,0,1,0,0,0,1
AS AM 138,0,0,0,0,1,0,0,1,0,0,0,0
AS AM 140,0,0,0,0,0,1,0,1,0,0,0,0
AS AM 146,0,0,0,0,0,1,0,1,0,0,0,0
AS AM 148,0,0,0,0,0,0,0,1,0,0,0,0
AS AM 149,0,0,0,0,0,0,0,1,0,0,0,0
AS AM 154,0,0,0,1,0,0,0,1,0,0,0,0
AS AM 155,0,0,0,1,0,0,0,1,0,0,0,0
AS AM 156,0,0,0,1,0,0,0,1,0,0,0,0
AS AM 157,0,0,0,1,0,0,0,1,0,0,0,0
AS AM 160,0,0,0,0,0,0,0,1,0,0,0,0
AS AM 161,0,0,0,0,1,0,0,1,0,0,0,1
AS AM 162,0,0,0,0,0,0,0,1,0,0,0,0
AS AM 165,0,0,0,1,0,0,0,1,0,0,0,0
AS AM 170KK,0,0,0,0,0,1,0,1,0,0,0,0
AS AM 2,1,0,0,1,0,0,0,1,0,0,0,0
AS AM 3,0,0,0,1,0,0,0,1,0,0,0,0
AS AM 4,0,0,0,0,0,1,0,1,0,0,0,1
AS AM 5,0,0,0,0,0,0,1,1,0,0,0,0
AS AM 7,0,0,0,1,0,0,0,1,0,0,0,0
AS AM 71,0,0,0,0,1,0,0,1,0,0,0,0
AS AM 79,0,0,0,0,0,1,0,0,0,0,0,1
AS AM 8,0,0,0,1,0,0,0,1,0,0,0,0
AS AM 9,0,0,0,1,0,0,0,1,0,0,0,0
AS AMW 1,1,0,0,1,0,0,0,1,0,0,0,0
ASTRO 1,0,0,1,0,0,0,0,0,0,1,0,0
ASTRO 2,0,0,1,0,0,0,0,0,0,1,0,0
ASTROW 1,0,0,1,0,0,0,0,0,0,1,0,0
BL ST 1,1,0,0,1,0,0,0,1,0,0,0,1
BL ST 100,0,0,0,1,0,0,0,0,0,0,0,0
BL ST 102,0,0,0,1,0,0,0,1,0,0,0,1
BL ST 103,1,0,0,1,0,0,0,1,0,0,0,1
BL ST 104,0,0,0,0,1,0,0,0,0,0,1,1
BL ST 108,0,0,0,0,0,0,0,1,0,0,0,0
BL ST 122,0,0,0,1,0,0,0,1,0,0,0,0
BL ST 124,0,0,0,1,0,0,0,0,0,0,0,1
BL ST 125,0,0,0,1,0,0,0,0,0,0,0,1
BL ST 126,0,0,0,0,0,0,1,0,0,0,1,1
BL ST 127,0,0,0,0,0,0,1,1,0,0,0,1
BL ST 129,0,0,0,1,0,0,0,1,0,0,0,1
BL ST 130A,0,0,0,0,1,0,1,0,0,0,1,1
BL ST 130B,0,0,0,0,1,0,1,0,0,0,1,0
BL ST 131,0,0,0,1,0,0,0,1,0,0,0,1
BL ST 137E,1,0,0,0,0,0,0,1,0,0,0,1
BL ST 14,0,0,0,0,0,1,0,1,0,0,0,1
BL ST 142,0,0,0,0,0,1,0,1,0,0,0,0
BL ST 15,0,0,0,1,0,0,0,1,0,0,0,0
BL ST 153,0,0,0,0,0,1,0,0,0,0,0,1
BL ST 160,0,0,0,1,0,0,0,1,0,0,0,1
BL ST 161,0,0,0,0,0,1,0,0,0,0,1,0
BL ST 162,0,0,0,0,0,1,0,0,0,0,1,1
BL ST 169BR,1,0,0,1,0,0,0,1,0,0,0,1
BL ST 169CR,1,0,0,1,0,0,0,1,0,0,0,1
BL ST 170,0,0,0,0,0,1,0,1,0,0,0,1
BL ST 171,0,0,0,1,0,1,0,0,0,0,1,1
BL ST 172,0,0,0,0,0,1,0,1,0,0,0,1
BL ST 174,0,0,0,1,0,0,0,0,0,0,0,1
BL ST 175,0,0,0,0,0,1,0,0,0,0,1,0
BL ST 1H,1,0,0,1,0,0,0,1,0,0,0,1
BL ST 3,0,0,0,0,1,0,0,0,0,0,1,0
BL ST 33,0,0,0,0,0,0,1,0,0,0,1,1
BL ST 38A,0,0,0,0,0,0,1,1,0,0,0,1
BL ST 38B,0,0,0,0,0,0,1,1,0,0,0,1
BL ST 4,0,0,0,1,0,0,0,1,0,0,0,0
BL ST 45,0,0,0,0,0,1,0,0,0,0,0,1
BL ST 49A,0,0,0,0,1,0,0,0,0,0,1,1
BL ST 49B,0,0,0,0,1,0,0,0,0,0,1,1
BL ST 49C,0,0,0,0,1,0,0,0,0,0,1,1
BL ST 5,0,0,0,0,1,0,0,0,0,0,1,1
BL ST 50,0,0,0,0,1,0,0,1,0,0,0,1
BL ST 6,1,0,0,1,0,0,0,1,0,0,0,1
BL ST 6H,1,0,0,1,0,0,0,1,0,0,0,1
BL ST 7,0,0,0,0,1,0,0,0,0,0,1,1
C LIT 100,0,0,0,0,0,0,1,0,0,0,0,1
C LIT 101,0,0,0,0,1,0,0,0,0,0,0,0
C LIT 103,0,0,0,0,0,0,1,0,0,0,0,1
C LIT 107,0,0,0,0,0,0,1,0,0,0,0,1
C LIT 113,0,0,0,0,1,0,1,0,0,0,0,1
C LIT 114,0,0,0,0,0,0,1,0,1,0,0,1
C LIT 115,0,0,0,0,0,0,1,0,0,0,1,1
C LIT 119,0,0,0,1,1,0,0,0,0,0,0,1
C LIT 122A,0,0,0,0,1,0,1,0,0,0,0,1
C LIT 122B,0,0,0,0,0,0,1,0,0,0,0,1
C LIT 126,0,0,0,0,0,0,1,0,0,0,1,1
C LIT 128A,0,0,0,0,0,0,1,0,0,0,0,1
C LIT 130,0,0,0,0,0,0,1,1,0,0,0,1
C LIT 133,1,0,0,0,0,0,1,0,0,0,0,1
C LIT 134,0,0,0,0,1,0,0,0,1,0,0,1
C LIT 152,0,0,0,0,1,0,0,0,0,1,0,0
C LIT 153,0,0,0,0,0,0,1,1,0,0,0,1
C LIT 153B,0,0,0,0,0,0,1,0,0,0,0,1
C LIT 154,0,0,0,0,0,0,1,0,0,0,0,1
C LIT 154I,0,0,0,0,1,0,1,0,0,0,0,1
C LIT 155,0,0,0,0,1,0,0,0,0,0,0,0
C LIT 161,0,0,0,0,0,0,1,0,0,0,0,1
C LIT 170,0,0,0,0,0,0,1,0,0,0,0,1
C LIT 171,0,0,0,0,1,0,1,0,0,0,1,1
C LIT 175A,0,0,0,0,0,0,1,0,0,0,1,1
C LIT 179A,0,0,0,0,1,0,1,0,0,0,0,1
C LIT 179B,0,0,0,0,0,0,1,0,0,0,0,1
C LIT 179C,0,0,0,0,0,0,1,0,0,0,0,1
C LIT 181A,0,0,0,0,1,0,0,0,0,0,0,1
C LIT 181B,0,0,0,0,1,0,0,0,0,0,0,1
C LIT 183,0,0,0,0,1,0,1,0,0,0,0,0
C LIT 184A,0,0,0,0,0,1,0,1,0,0,0,0
C LIT 184C,0,0,0,0,0,0,1,0,0,0,1,0
C LIT 185,0,0,0,0,1,0,0,0,0,0,0,1
C LIT 186AD,0,0,0,0,0,0,1,0,0,0,0,0
C LIT 186EE,0,0,0,0,0,0,1,0,0,0,0,1
C LIT 186FF,0,0,0,0,0,1,0,0,0,0,0,0
C LIT 186FL,0,0,0,1,0,0,0,0,1,0,0,1
C LIT 186G,0,0,0,0,0,0,1,0,0,0,0,1
C LIT 186IR,0,0,0,1,0,0,0,0,0,0,0,1
C LIT 186RR,0,0,0,0,1,0,0,0,0,0,0,1
C LIT 187,0,0,0,0,0,0,1,0,0,0,0,1
C LIT 188,0,0,0,0,0,0,1,0,0,0,0,0
C LIT 189,0,0,0,0,0,0,1,0,0,0,0,1
C LIT 190A,0,0,0,0,1,0,0,0,0,0,0,1
C LIT 191,0,0,0,0,0,0,1,0,0,0,0,0
C LIT 27,0,0,1,0,1,0,0,0,0,0,0,0
C LIT 28,0,0,0,0,1,0,0,0,0,0,0,1
C LIT 29,0,0,0,0,0,0,1,1,0,0,0,1
C LIT 30A,0,0,0,0,1,0,1,0,1,0,0,1
C LIT 30B,0,0,0,0,1,0,1,0,1,0,0,1
C LIT 30C,0,0,0,0,1,0,1,0,1,0,0,1
C LIT 31,0,0,0,0,0,0,1,0,0,0,1,1
C LIT 32,0,0,0,0,0,0,1,0,0,0,1,1
C LIT 33,0,0,0,0,0,0,1,0,0,0,1,1
C LIT 34,0,0,0,0,0,0,1,0,0,0,0,1
C LIT 35,0,0,0,0,1,0,0,0,0,0,0,1
C LIT 36,0,0,0,0,0,0,0,0,0,0,1,1
C LIT 43A,0,0,0,0,1,0,0,0,0,0,0,1
C LIT 50,0,0,0,0,1,0,0,0,1,0,0,1
C LIT 50A,0,0,0,0,1,0,0,0,1,0,0,1
C LIT 50B,0,0,0,0,1,0,0,0,1,0,0,0
C LIT 50C,0,0,0,0,1,0,0,0,1,0,0,1
C LIT 82,0,0,0,0,1,0,1,0,0,0,1,1
CH ST 113,0,0,0,0,1,0,0,0,0,0,1,0
CH ST 114,0,0,0,1,0,0,0,0,0,0,0,0
CH ST 124G,0,0,0,1,0,0,0,1,0,0,0,0
CH ST 125B,0,0,0,0,0,1,0,1,0,0,0,0
CH ST 13,0,0,0,0,1,0,0,0,0,0,1,0
CH ST 137,0,0,0,1,0,0,0,1,0,0,0,0
CH ST 138,0,0,0,0,0,1,0,1,0,0,0,0
CH ST 139,0,0,0,0,0,0,0,1,0,0,0,0
CH ST 140,0,0,0,1,0,0,0,1,0,0,0,0
CH ST 144,1,0,0,1,0,0,0,1,0,0,0,1
CH ST 148,0,0,0,0,0,1,0,1,0,0,0,0
CH ST 151,0,0,0,1,0,0,0,1,0,0,0,0
CH ST 152,0,0,0,0,0,0,1,1,0,0,0,1
CH ST 168A,1,0,0,1,0,0,0,1,0,0,0,0
CH ST 168B,1,0,0,1,0,0,0,1,0,0,0,0
CH ST 168E,0,0,0,0,0,0,0,1,0,0,0,0
CH ST 168F,0,0,0,0,0,0,0,1,0,0,0,0
CH ST 171,0,0,0,0,0,0,0,1,0,0,0,0
CH ST 172,0,0,0,1,0,0,0,1,0,0,0,1
CH ST 173,0,0,0,1,0,0,0,1,0,0,0,0
CH ST 174,1,0,0,1,0,0,0,1,0,0,0,0
CH ST 175,0,0,0,1,0,0,0,1,0,0,0,1
CH ST 176,0,0,0,1,0,0,0,0,0,0,0,0
